geneID	term	Estimate	Std.Error	t.value	p.value	fdr	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AAK37619.1	Western	-0.6460777601797003	0.07591137894341513	-8.51094749130155	1.2185463247227349e-14	3.6048662106380906e-14	AF353562.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAK76136.1	Western	-0.13995971267955906	0.04351217660137765	-3.2165642726116297	0.0015719749006169253	0.0020292766898873035	AE005672.3	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAK76137.1	Western	-0.5076676145019849	0.056982310517304235	-8.909214278838654	1.1299974879893216e-15	3.565769850988526e-15	AE005672.3	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAL14440.1	Western	0.7801872424890064	0.07733469178748752	10.088450919710498	8.287719419742891e-19	3.2646384992924534e-18	AF370885.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAL19305.1	Western	1.3577605718777297	0.08864902978424724	15.3161357228864	4.137257215653018e-33	5.340822951115713e-32	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;penem;antibacterial free fatty acids	antibiotic efflux
AAL27445.1	Western	0.18544088292016483	0.06373638571891543	2.9094979394969114	0.004139140282278816	0.005155771228803438	FJ872411	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAL73129.1	Western	4.342551737399252	0.33581814025864914	12.931260157818135	1.3501702470834775e-26	1.0090746057150201e-25	AF227521.1	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AAM09850.1	Western	-0.2485451146813163	0.07203108662152573	-3.4505256874334203	7.166358605033156e-4	9.335990109309249e-4	AY082011	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAM09851.1	Western	0.547149310222804	0.09828678937142377	5.566865229009953	1.0799451431213357e-7	1.7831652363166242e-7	AY082011	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAN28721.1	Western	0.3986123623143998	0.10266784674951104	3.8825433174510224	1.512256203840338e-4	2.0648113552435387e-4	AF540889	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
AAN28945	Western	-0.5901983349547867	0.09747162665518433	-6.055078336208265	9.753138921440963e-9	1.7755714446725853e-8	AY152390	murA transferase	fosfomycin	antibiotic target alteration
AAO04716.1	Western	0.2788721642522459	0.0980616395415677	2.843845621549432	0.005043345976190614	0.006173751108785062	AE015929.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAO47226.2	Western	-0.2212612176972065	0.02644819035596007	-8.365835798945145	2.871479008781108e-14	8.321428964222803e-14	AF235050.4	aminocoumarin resistant parY;aminocoumarin self resistant parY	aminocoumarin antibiotic	antibiotic target alteration
AAP43110.2	Western	0.7819484154061196	0.08084054974200738	9.672725110128658	1.0829061018883627e-17	3.942888883798654e-17	EU370913.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids;nitrofuran antibiotic	antibiotic efflux
AAR84672.1	Western	-0.23475261611957182	0.045354704837419484	-5.175926443818268	6.76199105533056e-7	1.0436986194097169e-6	AF155139	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAV85982.1	Western	-0.4709187329607271	0.03055405352331738	-15.412643451754924	2.272289337167861e-33	3.2266508587783625e-32	AY768532	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAX14802.1	Western	0.2768296744111129	0.07930974833889273	3.4904873639014977	6.241148895353933e-4	8.282646197572509e-4	AY769962	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;penem;antibacterial free fatty acids	antibiotic efflux
ABA71727.1	Western	0.40657737838205127	0.08161479150849307	4.981662893052194	1.6291023158977095e-6	2.409713842265362e-6	DQ212986	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
ABA71728.1	Western	-0.17625496965185034	0.07702852132765185	-2.2881780230743956	0.023444432791889402	0.026847656906841093	DQ212986	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
ABA71733.1	Western	-0.48260165898959584	0.07611424057472163	-6.340491021727058	2.2659305246826183e-9	4.290161793399091e-9	DQ212986	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration
ABD30512.1	Western	-0.3535487261107652	0.04583533737808507	-7.713453120120482	1.26239974023481e-12	3.144925668655141e-12	CP000253.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
ABH10964.1	Western	-0.3265618588661622	0.05467840098268852	-5.972410549634644	1.4778003725808349e-8	2.590711764277513e-8	DQ823382	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
ABS43151.1	Western	0.48678783923979113	0.09121874906514608	5.3364888712970595	3.216105049290004e-7	5.074299077768672e-7	CP000768	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;fusidic acid;triclosan;antibacterial free fatty acids	antibiotic efflux
ABX00624.1	Western	0.22919984004271207	0.05064018706721356	4.526046472508097	1.1715963410477202e-5	1.647194855730458e-5	EU124663.1	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
ABX54687.1	Western	-0.3036032847616707	0.06007382891470974	-5.053836092131129	1.1781313040663335e-6	1.760996265025467e-6	EU250284	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
ABX54691.1	Western	0.428785664021567	0.062443717634950296	6.866754259063716	1.397466539712852e-10	2.961794755809328e-10	EU250284	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
ACB05808.1	Western	-0.6438447096279121	0.10760918843549452	-5.983175962839453	1.4002181164558213e-8	2.4853871567090825e-8	EU294228.1	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
ACH87088.1	Western	0.4343433712498388	0.05828357516303955	7.452243106824323	5.538983210844865e-12	1.2686058321612434e-11	EU722333.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ACL82957.1	Western	-0.24084829303067978	0.04295674384973718	-5.606763256385722	8.913740247591191e-8	1.5068465656642252e-7	FJ349556	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
ACN32294.1	Western	-2.833997279619959	0.3893095921336002	-7.279546502022508	1.4540136964478122e-11	3.176460690701374e-11	FJ768952	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;lincosamide antibiotic;carbapenem;fosfomycin;cephalosporin;glycylcycline;cephamycin;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;aminocoumarin antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;pleuromutilin antibiotic;triclosan;penem;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
ACT97371.1	Western	-3.8393214097139654	0.4651696440748762	-8.253594056743667	5.5520362581626487e-14	1.4875266955832002e-13	GQ342996	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ACT97415.1	Western	6.042105739291797	0.40677966682526034	14.853509730335892	7.390776429023019e-32	7.496358949437633e-31	GQ343019	CblA beta-lactamase	cephalosporin	antibiotic inactivation
AEA37904.1	Western	-0.2855483110079017	0.07916303469001	-3.607091518485414	4.141792347848695e-4	5.548438805608629e-4	HM990671	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AET10444.1	Western	-0.29779347736344086	0.06566602210294478	-4.534970565090562	1.1285911685923674e-5	1.6025994594011615e-5	HQ652506.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AET10445.1	Western	0.11936287585104326	0.045708012212399764	2.611421282036462	0.009879828936435152	0.01169113090811493	HQ652506.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AGN74946	Western	-0.638833485080891	0.06085706532008031	-10.497277213761775	6.482284922731868e-20	2.969304706541695e-19	KC693025	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AHA41499.1	Western	-0.40337074279607915	0.053012942444779415	-7.608910658302879	2.2876606117290825e-12	5.505895031619147e-12	KF478993	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AHA41505.1	Western	-0.31184008857318934	0.0662577035081387	-4.706472939178835	5.446883780449413e-6	7.81270198811936e-6	KF478993.1	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
